Date-Time,Region,Facility,Entrance,Entries,Exits,Library,longitude,latitude
12/11/19 12:00 AM,UC Berkeley,AHC Library,AHC Back,0.0,0.0,AHC Library,-122.25963398957511,37.87302733017206
12/11/19 12:00 AM,UC Berkeley,AHC Library,AHC Front,0.0,0.0,AHC Library,-122.25963398957511,37.87302733017206
12/11/19 12:00 AM,UC Berkeley,ANTH Library,ANTH,0.0,0.0,ANTH Library,-122.25503934473814,37.869938884743185
12/11/19 12:00 AM,UC Berkeley,BANC Library,Bancroft,0.0,0.0,BANC Library,-122.25885871590296,37.872512477050805
12/11/19 12:00 AM,UC Berkeley,BIOS Library,VLSB1,0.0,0.0,BIOS Library,-122.26218502545493,37.87171424881601
12/11/19 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0.0,0.0,BIOS Library,-122.26218502545493,37.87171424881601
12/11/19 12:00 AM,UC Berkeley,CHEM Library,CHEM,0.0,1.0,CHEM Library,-122.25587394473797,37.8731350823988
12/11/19 12:00 AM,UC Berkeley,DOE Library,Doe North,1.0,1.0,DOE Library,-122.25962508891301,37.87239490824949
12/11/19 12:00 AM,UC Berkeley,DOE Library,Doe South,3.0,2.0,DOE Library,-122.25962508891301,37.87239490824949
12/11/19 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,182.0,68.0,DOE STACKS,-122.25961436007803,37.87241184650348
12/11/19 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,5.0,1.0,DOE STACKS,-122.25961436007803,37.87241184650348
12/11/19 12:00 AM,UC Berkeley,EAL Library,EAL,0.0,0.0,EAL Library,-122.2605316465828,37.873753573341126
12/11/19 12:00 AM,UC Berkeley,EART Library,Earth North,0.0,0.0,EART Library,-122.25963116007797,37.8741751341857
12/11/19 12:00 AM,UC Berkeley,EART Library,Earth South,0.0,0.0,EART Library,-122.25963116007797,37.8741751341857
12/11/19 12:00 AM,UC Berkeley,ENGI Library,ENGI,4.0,71.0,ENGI Library,-122.25824082939792,37.8743070784914
12/11/19 12:00 AM,UC Berkeley,ENVI Library,ENVI,3.0,26.0,ENVI Library,-122.254850587068,37.87096385099799
12/11/19 12:00 AM,UC Berkeley,GRDS Library,GRAD,0.0,0.0,GRDS Library,-122.25946690240794,37.87245666978342
12/11/19 12:00 AM,UC Berkeley,HAAS Library,HAAS 2F,5.0,31.0,HAAS Library,-122.25342354473806,37.87167671031363
12/11/19 12:00 AM,UC Berkeley,HAAS Library,HAAS 3F,2.0,4.0,HAAS Library,-122.25342354473806,37.87167671031363
12/11/19 12:00 AM,UC Berkeley,MATH Library,MATH,0.0,0.0,MATH Library,-122.25786663124293,37.87394541765516
12/11/19 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,111.0,3.0,MOFF Library,-122.26072654473799,37.872819583450685
12/11/19 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,0.0,211.0,MOFF Library,-122.26072654473799,37.872819583450685
12/11/19 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,55.0,142.0,MOFF Library,-122.26072654473799,37.872819583450685
12/11/19 12:00 AM,UC Berkeley,MORR Library,Morrison,0.0,0.0,MORR Library,-122.25947098891301,37.87239310080158
12/11/19 12:00 AM,UC Berkeley,MUSI,MUSI,0.0,0.0,MUSI,-122.25619723124298,37.870664382574816
12/11/19 12:00 AM,UC Berkeley,NEWS Library,News,0.0,0.0,NEWS Library,-122.25949780240798,37.87238147744239
12/11/19 12:00 AM,UC Berkeley,OPTO Library,OPTO,0.0,0.0,OPTO Library,-122.2547227600779,37.871656948846656
12/11/19 12:00 AM,UC Berkeley,PHYS Library,PHYS,0.0,1.0,PHYS Library,-122.2573363159031,37.872766514514694
12/11/19 12:00 AM,UC Berkeley,SEAL Library,SEAL,0.0,0.0,SEAL Library,-122.25961436007803,37.87240337737698
12/11/19 12:00 AM,UC Berkeley,SOCR Library,SOCR,0.0,0.0,SOCR Library,-122.26104840240791,37.87388962803937
