Date-Time,Region,Facility,Entrance,Entries,Exits
12/11/19 12:00 AM,,,TEST,0,0
12/11/19 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
12/11/19 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
12/11/19 12:00 AM,UC Berkeley,ANTH Library,ANTH,0,0
12/11/19 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
12/11/19 12:00 AM,UC Berkeley,BIOS Library,VLSB1,0,0
12/11/19 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
12/11/19 12:00 AM,UC Berkeley,CHEM Library,CHEM,0,1
12/11/19 12:00 AM,UC Berkeley,DOE Library,Doe North,1,1
12/11/19 12:00 AM,UC Berkeley,DOE Library,Doe South,3,2
12/11/19 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,182,68
12/11/19 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,5,1
12/11/19 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
12/11/19 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
12/11/19 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
12/11/19 12:00 AM,UC Berkeley,ENGI Library,ENGI,4,71
12/11/19 12:00 AM,UC Berkeley,ENVI Library,ENVI,3,26
12/11/19 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
12/11/19 12:00 AM,UC Berkeley,HAAS Library,HAAS 2F,5,31
12/11/19 12:00 AM,UC Berkeley,HAAS Library,HAAS 3F,2,4
12/11/19 12:00 AM,UC Berkeley,MATH Library,MATH,0,0
12/11/19 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,111,3
12/11/19 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,0,211
12/11/19 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,55,142
12/11/19 12:00 AM,UC Berkeley,MORR Library,Morrison,0,0
12/11/19 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
12/11/19 12:00 AM,UC Berkeley,NEWS Library,News,0,0
12/11/19 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
